Country,1950,1955,1950-55%,1960,1955-60%,1965,1960-65%,1970,1965-70%,1975,1970-75%,1980,1975-80%,1985,19880-85%,1990,1985-90%,1995,1990-95%,2000,1995-2000%,2005,2000-05%,2010,2005-10%,2015,2010-15%
 Malawi,2817,3089,1.86,3451,2.24,3915,2.55,4509,2.87,5318,3.36,6258,3.31,7321,3.19,9360,5.04,9809,0.94,11130,2.56,12864,2.94,15183,3.37,17965,3.42
 Malaysia,6434,7312,2.59,8429,2.88,9648,2.74,10911,2.49,12131,2.14,13461,2.1,15650,3.06,17883,2.7,20340,2.61,23152,2.62,25969,2.32,28275,1.72,30514,1.54
 Maldives,80,81,0.21,93,2.86,98,1.17,115,3.22,133,2.97,153,2.88,178,3.01,217,4.09,261,3.77,300,2.86,337,2.31,396,3.31,394,-0.12
 Mali,3688,4072,2,4495,2,4978,2.06,5547,2.19,6218,2.31,6869,2.01,7623,2.11,8487,2.17,9489,2.26,10788,2.6,12528,3.04,14583,3.09,16956,3.06
 Malta,312,315,0.15,329,0.88,320,-0.58,326,0.4,328,0.14,365,2.11,348,-0.95,360,0.69,377,0.97,390,0.68,399,0.44,407,0.41,414,0.35
 Marshall Islands,11,13,3.32,16,3.32,18,3.32,22,4.05,27,4,31,3.03,39,4.5,46,3.69,50,1.61,54,1.35,60,2.17,66,2.19,73,1.85
 Mauritania,1006,1054,0.93,1118,1.19,1196,1.35,1290,1.53,1405,1.72,1545,1.93,1724,2.21,1925,2.24,2235,3.03,2501,2.28,2838,2.56,3206,2.46,3597,2.33
 Mauritius,482,572,3.5,664,3.02,756,2.64,830,1.89,886,1.31,964,1.71,1021,1.15,1062,0.79,1124,1.13,1186,1.09,1243,0.94,1295,0.81,1340,0.7
 Mexico,28486,32930,2.94,38579,3.22,45143,3.19,52776,3.17,60679,2.83,68348,2.41,76601,2.31,84635,2.01,92584,1.81,99776,1.51,106577,1.33,114062,1.37,121737,1.31
 Moldova,2337,2623,2.34,2999,2.72,3334,2.14,3595,1.52,3847,1.36,3997,0.77,4149,0.75,4375,1.07,4356,-0.09,4181,-0.82,3949,-1.14,3732,-1.12,3547,-1.01
 Monaco,19,19,0.17,21,2.57,23,1.59,24,1.12,26,1.13,27,1.11,29,1.2,30,1.24,31,0.62,32,0.6,32,-0.48,31,-0.33,31,-0.03
 Mongolia,779,845,1.63,955,2.49,1091,2.69,1248,2.73,1446,2.99,1656,2.75,1860,2.35,2122,2.67,2307,1.69,2461,1.3,2603,1.13,2784,1.35,2993,1.46
 Montenegro,396,432,1.76,462,1.35,492,1.25,515,0.94,550,1.31,561,0.4,561,0.02,584,0.8,671,2.83,733,1.78,700,-0.92,667,-0.95,648,-0.6
 Montserrat,14,13,-1.08,13,-0.99,12,-0.62,12,-0.32,13,0.9,12,-0.59,12,-0.77,11,-1.07,11,-0.87,4,-17.39,5,2.77,6,2.47,6,0.48
 Morocco,9344,10782,2.9,12424,2.88,14067,2.51,15910,2.49,17688,2.14,19488,1.96,21644,2.12,24000,2.09,26148,1.73,28114,1.46,29901,1.24,31628,1.13,33323,1.05
 Mozambique,6251,6782,1.64,7473,1.96,8302,2.13,9305,2.31,10433,2.32,12103,3.01,13294,1.89,12990,-0.46,15889,4.11,17997,2.52,20069,2.2,22418,2.24,25304,2.45
 Myanmar,19488,21050,1.55,22840,1.64,24938,1.77,27393,1.9,30330,2.06,33337,1.91,36766,1.98,40464,1.94,43994,1.69,47439,1.52,50573,1.29,53415,1.1,56321,1.07
 Namibia,464,522,2.39,591,2.51,671,2.58,765,2.65,916,3.66,1059,2.94,1205,2.62,1471,4.08,1682,2.72,1894,2.4,2029,1.39,2129,0.97,2213,0.78
 Nauru,4,4,1.38,5,4.01,6,4.44,7,3.8,8,1.17,8,1.66,9,2.01,10,2.18,10,0.69,10,0.08,11,0.31,10,-1.54,10,0.58
