Country,CovidDeaths,Over65percnt,HospitalBeds,GINI,Obesity rate,Latitude,Percentage of foreign population,Percentage not in their country
Thailand,0.831,11.9008931395893,?,36.5,10,15.870032,1.6,5.6
Togo,1.57,2.86946801108822,0.7,43.1,8.4,8.619543,0.1,3
Trinidad and Tobago,5.716,10.7349535163324,?,40.3,18.6,10.691803,0.1,2.4
Tunisia,4.146,8.31567907898877,2.1,32.8,26.9,33.886917,0.1,0.3
Turkey,56.273,8.4832129399716,2.5,41.9,32.1,38.963745,1.3,3.8
Uganda,0,1.94098692046317,?,42.8,5.3,1.373333,0.3,1.4
Ukraine,19.047,16.4346864392016,9,25,24.1,48.379433,2.2,11.4
United Kingdom,605.839,18.3958656741466,2.9,33.2,27.8,55.378051,3.5,13.2
Uruguay,6.621,14.8145195308593,3,39.5,27.9,-32.522779,0.1,2.3
Uzbekistan,0.568,4.4191378781364,4.3,35.3,16.6,41.377491,0.6,4.4
Venezuela,0.809,7.26698662012597,0.9,46.9,25.6,6.42375,0.1,0.3
Vietnam,0,7.2749782978793,?,35.3,2.1,14.058324,0.1,0.1
Yemen,4.325,2.87626975604452,0.7,36.7,17.1,15.552727,0.2,1.3
Zambia,0.544,2.09967802593266,?,57.1,8.1,-13.133897,0.1,0.7
Zimbabwe,0.269,2.93952365300113,1.7,43.2,15.5,-19.015438,0.2,2.6
